course_ids,student_id,instructor_id,coursename
1,1,14,SQL Server Essentials - 1
2,2,20,Data Modeling - 2
3,3,3,Data Visualization - 3
4,4,16,Power BI Basics - 4
5,5,10,Python for Data Analysis - 5
6,6,20,Data Modeling - 6
7,7,9,Statistics for Data - 7
8,8,14,ETL Foundations - 8
9,9,11,Excel Reporting - 9
10,10,5,Data Modeling - 10
11,11,1,Data Visualization - 11
12,12,20,Intro to Programming - 12
13,13,7,SQL Server Essentials - 13
14,14,4,Intro to Programming - 14
15,15,10,Business Intelligence - 15
16,16,17,Python for Data Analysis - 16
17,17,18,Intro to Programming - 17
18,18,3,SQL Server Essentials - 18
19,19,8,Data Modeling - 19
20,20,12,Data Visualization - 20
21,21,5,Excel Reporting - 21
22,22,18,Statistics for Data - 22
23,23,5,Excel Reporting - 23
24,24,15,Intro to Programming - 24
25,25,4,Advanced SQL Queries - 25
26,26,5,Database Fundamentals - 26
27,27,1,Data Visualization - 27
28,28,10,Business Intelligence - 28
29,29,7,Power BI Basics - 29
30,30,13,Database Fundamentals - 30
31,31,5,Power BI Basics - 31
32,32,16,Database Fundamentals - 32
33,33,3,Intro to Programming - 33
34,34,10,Python for Data Analysis - 34
35,35,20,Database Fundamentals - 35
36,36,2,SQL Server Essentials - 36
37,37,15,Data Visualization - 37
38,38,1,Power BI Basics - 38
39,39,19,Business Intelligence - 39
40,40,20,Excel Reporting - 40
41,41,12,Excel Reporting - 41
42,42,12,Business Intelligence - 42
43,43,9,Power BI Basics - 43
44,44,2,Database Fundamentals - 44
45,45,5,Intro to Programming - 45
46,46,7,Excel Reporting - 46
47,47,6,Power BI Basics - 47
48,48,10,Statistics for Data - 48
49,49,12,Advanced SQL Queries - 49
50,50,18,Excel Reporting - 50
51,51,17,Excel Reporting - 51
52,52,15,Data Modeling - 52
53,53,20,Data Modeling - 53
54,54,1,SQL Server Essentials - 54
55,55,7,SQL Server Essentials - 55
56,56,13,Data Modeling - 56
57,57,8,Power BI Basics - 57
58,58,20,Python for Data Analysis - 58
59,59,3,Statistics for Data - 59
60,60,13,Python for Data Analysis - 60
61,61,2,Data Visualization - 61
62,62,17,Intro to Programming - 62
63,63,8,Intro to Programming - 63
64,64,4,Statistics for Data - 64
65,65,5,ETL Foundations - 65
66,66,4,SQL Server Essentials - 66
67,67,2,Python for Data Analysis - 67
68,68,20,Power BI Basics - 68
69,69,17,Data Visualization - 69
70,70,18,Power BI Basics - 70
71,71,4,Python for Data Analysis - 71
72,72,18,Data Visualization - 72
73,73,18,Data Modeling - 73
74,74,16,Database Fundamentals - 74
75,75,17,Data Modeling - 75
76,76,9,Advanced SQL Queries - 76
77,77,20,Advanced SQL Queries - 77
78,78,16,Database Fundamentals - 78
79,79,17,ETL Foundations - 79
80,80,6,Statistics for Data - 80
81,81,16,Database Fundamentals - 81
82,82,13,Database Fundamentals - 82
83,83,10,Database Fundamentals - 83
84,84,6,Python for Data Analysis - 84
85,85,16,Database Fundamentals - 85
86,86,20,Python for Data Analysis - 86
87,87,13,ETL Foundations - 87
88,88,15,Business Intelligence - 88
89,89,5,Advanced SQL Queries - 89
90,90,12,Power BI Basics - 90
91,91,16,SQL Server Essentials - 91
92,92,14,Statistics for Data - 92
93,93,17,Power BI Basics - 93
94,94,8,SQL Server Essentials - 94
95,95,19,Power BI Basics - 95
96,96,13,Python for Data Analysis - 96
97,97,19,ETL Foundations - 97
98,98,19,Statistics for Data - 98
99,99,11,Python for Data Analysis - 99
100,100,3,Power BI Basics - 100
101,101,19,Intro to Programming - 101
102,102,1,Advanced SQL Queries - 102
103,103,6,Business Intelligence - 103
104,104,15,Excel Reporting - 104
105,105,2,SQL Server Essentials - 105
106,106,4,Power BI Basics - 106
107,107,2,Advanced SQL Queries - 107
108,108,11,Statistics for Data - 108
109,109,14,Advanced SQL Queries - 109
110,110,1,Python for Data Analysis - 110
111,111,2,Statistics for Data - 111
112,112,7,Statistics for Data - 112
113,113,7,Database Fundamentals - 113
114,114,7,ETL Foundations - 114
115,115,17,Power BI Basics - 115
116,116,2,Intro to Programming - 116
117,117,4,SQL Server Essentials - 117
118,118,16,Database Fundamentals - 118
119,119,12,ETL Foundations - 119
120,120,17,Advanced SQL Queries - 120
121,121,13,Business Intelligence - 121
122,122,4,Database Fundamentals - 122
123,123,12,Power BI Basics - 123
124,124,12,ETL Foundations - 124
125,125,10,Data Visualization - 125
126,126,17,Advanced SQL Queries - 126
127,127,3,Business Intelligence - 127
128,128,17,Business Intelligence - 128
129,129,16,Database Fundamentals - 129
130,130,8,Data Modeling - 130
131,131,9,Python for Data Analysis - 131
132,132,3,Data Visualization - 132
133,133,7,Power BI Basics - 133
134,134,16,SQL Server Essentials - 134
135,135,7,Advanced SQL Queries - 135
136,136,18,Data Modeling - 136
137,137,17,Data Visualization - 137
138,138,12,Business Intelligence - 138
139,139,1,ETL Foundations - 139
140,140,4,Python for Data Analysis - 140
141,141,18,Power BI Basics - 141
142,142,12,Business Intelligence - 142
143,143,9,Python for Data Analysis - 143
144,144,17,Excel Reporting - 144
145,145,10,Data Modeling - 145
146,146,1,Intro to Programming - 146
147,147,9,Statistics for Data - 147
148,148,7,ETL Foundations - 148
149,149,6,Python for Data Analysis - 149
150,150,4,Intro to Programming - 150
151,151,9,ETL Foundations - 151
152,152,14,SQL Server Essentials - 152
153,153,14,Database Fundamentals - 153
154,154,19,Excel Reporting - 154
155,155,11,Python for Data Analysis - 155
156,156,2,Python for Data Analysis - 156
157,157,11,Database Fundamentals - 157
158,158,1,Python for Data Analysis - 158
159,159,14,Advanced SQL Queries - 159
160,160,9,Power BI Basics - 160
161,161,13,Database Fundamentals - 161
162,162,16,ETL Foundations - 162
163,163,3,Intro to Programming - 163
164,164,17,SQL Server Essentials - 164
165,165,15,Business Intelligence - 165
166,166,5,Database Fundamentals - 166
167,167,7,Excel Reporting - 167
168,168,8,ETL Foundations - 168
169,169,15,Advanced SQL Queries - 169
170,170,17,Data Modeling - 170
171,171,12,Data Modeling - 171
172,172,2,Database Fundamentals - 172
173,173,5,Business Intelligence - 173
174,174,20,Excel Reporting - 174
175,175,20,ETL Foundations - 175
176,176,16,Business Intelligence - 176
177,177,16,Intro to Programming - 177
178,178,1,Python for Data Analysis - 178
179,179,7,Python for Data Analysis - 179
180,180,17,SQL Server Essentials - 180
181,181,16,Database Fundamentals - 181
182,182,10,Python for Data Analysis - 182
183,183,20,ETL Foundations - 183
184,184,14,Business Intelligence - 184
185,185,6,Power BI Basics - 185
186,186,12,Intro to Programming - 186
187,187,5,Database Fundamentals - 187
188,188,12,SQL Server Essentials - 188
189,189,4,Intro to Programming - 189
190,190,1,Data Visualization - 190
191,191,12,Statistics for Data - 191
192,192,5,Intro to Programming - 192
193,193,17,ETL Foundations - 193
194,194,1,Business Intelligence - 194
195,195,12,Python for Data Analysis - 195
196,196,4,SQL Server Essentials - 196
197,197,12,Data Visualization - 197
198,198,10,Python for Data Analysis - 198
199,199,12,ETL Foundations - 199
200,200,5,Python for Data Analysis - 200
