enrollment_id,student_id,enrollment_date,progress_percentage,completion_status
1,1,2025-10-25,74.61,InProgress
2,2,2023-04-28,96.43,Done
3,3,2025-07-21,86.39,InProgress
4,4,2025-01-28,96.83,Done
5,5,2023-03-06,91.12,InProgress
6,6,2024-05-29,97.76,Done
7,7,2025-12-31,99.1,Done
8,8,2024-02-01,65.52,InProgress
9,9,2025-08-29,98.83,Done
10,10,2024-06-23,97.6,Done
11,11,2025-09-19,0.0,Pending
12,12,2024-10-08,64.01,InProgress
13,13,2023-09-11,98.19,Done
14,14,2024-10-30,98.06,Done
15,15,2024-08-01,98.12,Done
16,16,2025-02-02,98.78,Done
17,17,2024-11-13,50.48,InProgress
18,18,2024-11-27,0.0,Pending
19,19,2024-12-12,95.64,Done
20,20,2025-10-08,97.65,Done
21,21,2025-02-18,25.12,Cancelled
22,22,2023-07-21,97.54,Done
23,23,2023-08-20,54.95,InProgress
24,24,2024-07-15,96.13,Done
25,25,2025-09-06,50.75,InProgress
26,26,2023-05-12,61.82,InProgress
27,27,2024-07-13,48.51,InProgress
28,28,2025-06-06,99.61,Done
29,29,2024-01-12,95.16,Done
30,30,2024-02-13,99.61,Done
31,31,2023-05-12,0.0,Pending
32,32,2025-02-12,97.44,Done
33,33,2024-06-27,99.84,Done
34,34,2025-02-26,82.64,InProgress
35,35,2024-08-02,98.37,Done
36,36,2024-10-06,96.68,Done
37,37,2024-05-16,0.0,Pending
38,38,2023-09-15,96.09,Done
39,39,2024-01-31,96.05,Done
40,40,2023-11-12,98.13,Done
41,41,2024-03-19,95.96,Done
42,42,2025-12-18,95.51,Done
43,43,2025-05-24,96.81,Done
44,44,2023-02-13,37.3,InProgress
45,45,2024-06-21,98.58,Done
46,46,2023-05-06,99.59,Done
47,47,2023-06-11,99.13,Done
48,48,2024-09-24,99.27,Done
49,49,2023-04-19,99.16,Done
50,50,2024-09-07,99.61,Done
51,51,2023-08-18,42.41,InProgress
52,52,2025-02-09,95.61,Done
53,53,2023-09-28,2.89,Cancelled
54,54,2024-09-02,95.44,Done
55,55,2025-01-21,85.06,InProgress
56,56,2023-09-20,81.63,InProgress
57,57,2025-12-14,96.71,Done
58,58,2024-03-01,97.44,Done
59,59,2025-12-27,44.29,InProgress
60,60,2023-06-27,96.45,Done
61,61,2023-10-10,98.15,Done
62,62,2024-10-18,95.25,Done
63,63,2024-09-22,61.81,InProgress
64,64,2024-01-08,98.53,Done
65,65,2024-05-14,40.45,Cancelled
66,66,2023-05-30,92.76,InProgress
67,67,2024-02-19,99.38,Done
68,68,2024-12-15,95.53,Done
69,69,2023-03-23,97.74,Done
70,70,2025-10-27,99.6,Done
71,71,2023-03-29,0.0,Pending
72,72,2023-06-07,96.02,Done
73,73,2024-10-29,95.69,Done
74,74,2024-03-03,99.85,Done
75,75,2025-01-19,70.97,InProgress
76,76,2024-04-16,78.61,InProgress
77,77,2023-09-27,99.56,Done
78,78,2023-03-30,95.99,Done
79,79,2024-03-10,0.0,Pending
80,80,2025-12-23,95.49,Done
81,81,2024-06-05,95.1,Done
82,82,2023-05-10,99.49,Done
83,83,2024-05-19,99.22,Done
84,84,2024-07-02,85.05,InProgress
85,85,2024-02-29,96.22,Done
86,86,2023-05-13,95.58,Done
87,87,2023-07-02,99.62,Done
88,88,2023-05-27,95.61,Done
89,89,2023-08-11,44.75,InProgress
90,90,2025-11-04,98.31,Done
91,91,2025-02-19,99.99,Done
92,92,2025-09-28,96.35,Done
93,93,2023-04-18,0.0,Pending
94,94,2025-07-16,98.81,Done
95,95,2023-03-16,97.38,Done
96,96,2025-09-18,99.29,Done
97,97,2024-07-21,97.86,Done
98,98,2025-08-10,56.73,InProgress
99,99,2025-01-30,86.48,InProgress
100,100,2023-11-17,98.06,Done
101,101,2023-12-14,49.11,InProgress
102,102,2023-02-18,0.0,Pending
103,103,2024-05-09,0.0,Pending
104,104,2023-12-21,34.51,Cancelled
105,105,2025-09-19,96.82,Done
106,106,2025-04-03,60.48,InProgress
107,107,2025-04-29,97.84,Done
108,108,2024-11-13,98.08,Done
109,109,2024-02-20,98.53,Done
110,110,2024-07-04,98.05,Done
111,111,2025-05-05,68.14,InProgress
112,112,2023-02-12,98.22,Done
113,113,2023-11-30,0.0,Pending
114,114,2023-11-29,99.37,Done
115,115,2024-12-03,43.23,InProgress
116,116,2024-11-06,58.64,InProgress
117,117,2024-07-20,51.84,InProgress
118,118,2023-09-14,99.27,Done
119,119,2025-05-08,97.53,Done
120,120,2024-05-18,95.73,Done
121,121,2024-07-07,46.81,InProgress
122,122,2023-05-26,0.0,Pending
123,123,2023-08-25,98.35,Done
124,124,2025-08-05,97.11,Done
125,125,2024-05-10,55.16,InProgress
126,126,2024-03-27,1.59,Cancelled
127,127,2023-04-17,37.83,InProgress
128,128,2025-10-14,97.45,Done
129,129,2024-02-01,52.54,InProgress
130,130,2024-05-09,95.54,Done
131,131,2023-02-13,78.54,InProgress
132,132,2023-04-05,0.0,Pending
133,133,2024-04-15,98.27,Done
134,134,2025-09-10,95.61,Done
135,135,2025-05-14,0.0,Pending
136,136,2025-03-08,95.15,Done
137,137,2023-06-03,40.07,InProgress
138,138,2023-05-07,58.01,InProgress
139,139,2024-05-20,75.73,InProgress
